State,StateAbb,StateAb,2016USSENATE,2016GOV,2016EV,EVChange,RepWins,DemWins,2012DemEV,2012RepEV,2012DemWin,2012RepWin,2012TotalVote,2012Margin,2012%Margin,2012Obama%,2012Romney%,2012Other%,2012ObamaVote,2012RomneyVote,2012Othervote,2008DemEV,2008RepEV,2008DemWin,2008RepWin,2008TotalVote,2008Margin,2008%Margin,2008Obama%,2008McCain%,2008Other%,2008ObamaVote,2008McCainVote,2008Othervote,2004RepEV,2004DemEV,2004RepWin,2004DemWin,2004TotalVote,2004Margin,2004%Margin,2004Bush%,2004Kerry%,2004Other%,2004BushVote,2004KerryVote,2004Othervote,2000RepEv,2000DemEV,2000TotalVote,2000RepWin,2000DemWin,2000GreWin,2000Margin,2000Margin%,2000Gore%,2000Bush%,2000Nader%,2000Other%,2000GoreAV,2000BushVote,2000NaderVote,2000Other
Florida,Fla.,FL,R,,29,2,2,2,29,0,1,0,8492175,74309,0.0088,0.4990,0.4903,0.0107,4237756,4163447,90972,27,0,1,0,8412248,236148,0.0281,0.5091,0.4810,0.0099,4282367,4046219,83662,27,0,1,0,7609810,380978,0.0501,0.5210,0.4709,0.0081,3964522,3583544,61744,25,0,5963110,1,0,0,537,0.0001,0.4884,0.4885,0.0163,0.0068,2912253,2912790,97488,40579
North Carolina,N.C.,NC,R,R,15,0,3,1,0,15,0,1,4505372,92004,0.0204,0.4835,0.5039,0.0126,2178391,2270395,56586,15,0,1,0,4310789,14177,0.0033,0.4970,0.4938,0.0092,2142651,2128474,39664,15,0,1,0,3501007,435317,0.1243,0.5602,0.4358,0.0040,1961166,1525849,13992,14,0,2911262,1,0,0,373471,0.1283,0.4320,0.5603,0.0000,0.0077,1257692,1631163,0,22407
Ohio,Ohio,OH,R,,18,-2,2,2,18,0,1,0,5590934,166272,0.0297,0.5058,0.4760,0.0182,2827709,2661437,101788,20,0,1,0,5721831,262224,0.0458,0.5138,0.4680,0.0182,2940044,2677820,103967,20,0,1,0,5627908,118601,0.0211,0.5081,0.4871,0.0048,2859768,2741167,26973,21,0,4705457,1,0,0,165019,0.0351,0.4646,0.4997,0.0250,0.0107,2186190,2351209,117857,50201
Virginia,Va.,VA,,,13,0,2,2,13,0,1,0,3854489,149298,0.0387,0.5116,0.4728,0.0156,1971820,1822522,60147,13,0,1,0,3723260,234527,0.063,0.5263,0.4633,0.0104,1959532,1725005,38723,13,0,1,0,3198367,262217,0.082,0.5368,0.4548,0.0083,1716959,1454742,26666,13,0,2739447,1,0,0,220200,0.0804,0.4444,0.5247,0.0217,0.0092,1217290,1437490,59398,25269
Colorado,Colo.,CO,D,,9,0,2,2,9,0,1,0,2571846,137859,0.0536,0.5145,0.4609,0.0247,1323102,1185243,63501,9,0,1,0,2401462,215004,0.0895,0.5366,0.4471,0.0163,1288633,1073629,39200,9,0,1,0,2130325,99531,0.0467,0.5169,0.4702,0.0128,1101256,1001725,27344,8,0,1741365,1,0,0,145518,0.0836,0.4239,0.5075,0.0525,0.0161,738227,883745,91434,27959
Pennsylvania,Pa.,PA,R,,20,-1,0,4,20,0,1,0,5754939,309840,0.0538,0.5196,0.4658,0.0146,2990274,2680434,84231,21,0,1,0,6015476,620478,0.1031,0.5447,0.4415,0.0138,3276363,2655885,83228,0,21,0,1,5769590,144248,0.025,0.4842,0.5092,0.0065,2793847,2938095,37648,0,23,4913119,0,1,0,204840,0.0417,0.5060,0.4643,0.0210,0.0087,2485967,2281127,103392,42633
New Hampshire,N.H.,NH,R,D ,4,0,1,3,4,0,1,0,710972,39643,0.0558,0.5198,0.4640,0.0162,369561,329918,11493,4,0,1,0,710970,68292,0.0961,0.5413,0.4452,0.0135,384826,316534,9610,0,4,0,1,677738,9274,0.0137,0.4887,0.5024,0.0088,331237,340511,5990,4,0,569081,1,0,0,7211,0.0127,0.4680,0.4807,0.0390,0.0123,266348,273559,22198,6976
Iowa,Iowa,IA,R,,6,-1,1,3,6,0,1,0,1582180,91927,0.0581,0.5199,0.4618,0.0183,822544,730617,29019,7,0,1,0,1537123,146561,0.0953,0.5393,0.4439,0.0168,828940,682379,25804,7,0,1,0,1506908,10059,0.0067,0.4990,0.4923,0.0087,751957,741898,13053,0,7,1315563,0,1,0,4144,0.0031,0.4854,0.4822,0.0223,0.0101,638517,634373,29374,13299
Nevada,Nev.,NV,D,,6,1,2,2,6,0,1,0,1014918,67806,0.0668,0.5236,0.4568,0.0197,531373,463567,19978,5,0,1,0,967848,120909,0.1249,0.5515,0.4265,0.0220,533736,412827,21285,5,0,1,0,829587,21500,0.0259,0.5047,0.4788,0.0165,418690,397190,13707,4,0,608970,1,0,0,21597,0.0355,0.4598,0.4952,0.0246,0.0204,279978,301575,15008,12409
Wisconsin,Wis.,WI,R,,10,0,0,4,10,0,1,0,3068434,213019,0.0694,0.5283,0.4589,0.0129,1620985,1407966,39483,10,0,1,0,2983417,414818,0.139,0.5622,0.4231,0.0147,1677211,1262393,43813,0,10,0,1,2997007,11384,0.0038,0.4932,0.4970,0.0098,1478120,1489504,29383,0,11,2598607,0,1,0,5708,0.0022,0.4783,0.4761,0.0362,0.0093,1242987,1237279,94070,24271
